UAL_promoter,Plate,Well,Strand,Reports_genes,Gene,Operon,Operon_name,Duplicated_reporting,Amplicons
aaeR,7,H6,1,aaeR,aaeR,NA,NA,NA,1
abrB,7,B10,-1,abrB,abrB,NA,NA,NA,1
accB,18,B8,1,"accB,accC",NA,"accB,accC",accBC,NA,1
aceB,13,E3,1,"aceB,aceA,aceK",NA,"aceB,aceA,aceK",aceBAK,aceK,1
aceK,18,A10,1,aceK,aceK,NA,NA,aceK,1
ackA,3,F5,1,"ackA,pta",NA,"ackA,pta",ackA-pta,NA,1
acnB,2,H10,1,acnB,acnB,NA,NA,NA,1
acpP,7,F2,1,acpP,acpP,NA,NA,NA,1
ada,12,F1,-1,"ada,alkB",NA,"ada,alkB",ada-alkB,NA,1
add,5,A8,1,add,add,NA,NA,NA,1
adhE,4,B3,-1,adhE,adhE,NA,NA,NA,1
adiA,2,D6,-1,adiA,adiA,NA,NA,NA,1
adk,5,G6,1,adk,adk,NA,NA,NA,1
adrA,11,G5,1,dgcC,dgcC,NA,NA,NA,1
aegA,4,B6,-1,aegA,aegA,NA,NA,NA,1
aer,1,D4,-1,aer,aer,NA,NA,NA,1
aes,5,E10,-1,aes,aes,NA,NA,NA,1
agaR,8,E5,-1,agaR,agaR,NA,NA,NA,1
agaS,11,D9,1,NA,NA,NA,NA,NA,0
agn43,18,E10,1,"isrC,flu",NA,"isrC,flu",isrC-flu,NA,1
ahpC,13,D11,1,"ahpC,ahpF",NA,"ahpC,ahpF",ahpCF,ahpF,1
ahpF,13,F8,1,ahpF,ahpF,NA,NA,ahpF,1
aidB,12,H6,1,aidB,aidB,NA,NA,NA,1
ais,12,A4,-1,ais,ais,NA,NA,NA,1
alaS,10,B11,-1,alaS,alaS,NA,NA,NA,1
aldA,3,G6,1,aldA,aldA,NA,NA,NA,1
aldB,12,B12,-1,aldB,aldB,NA,NA,NA,1
aldH,3,G5,1,puuC,puuC,NA,NA,puuC,1
allA,13,D8,1,allA,allA,NA,NA,NA,1
allD,13,H7,-1,"allD,allC,allE",NA,"allD,allC,allE",allDCE,NA,1
allR,7,D6,1,allR,allR,NA,NA,NA,1
allS,13,H5,-1,allS,allS,NA,NA,NA,1
alsA,14,D7,-1,alsA,alsA,NA,NA,alsA,1
alsB,15,A4,-1,alsB,alsB,NA,NA,alsB,1
alsI,2,A1,1,rpiB,rpiB,NA,NA,NA,1
alsR,2,B3,-1,"rpiR,alsB,alsA,alsC,alsE",NA,"rpiR,alsB,alsA,alsC,alsE",rpiR-alsBACE,"alsB,alsA",1
amiA,18,E1,1,"amiA,hemF",NA,"amiA,hemF",amiA-hemF,NA,1
amiC,1,D1,-1,amiC,amiC,NA,NA,NA,1
