"UAL_promoter","Plate","Well","Reports_genes"
"aaeR","AZ07","H6","aaeR"
"abrB","AZ07","B10","abrB"
"accB","AZ18","B8","accB,accC"
"aceB","AZ13","E3","aceB,aceA,aceK"
"aceK","AZ18","A10","aceK"
"ackA","AZ03","F5","ackA,pta"
"acnB","AZ02","H10","acnB"
"acpP","AZ07","F2","acpP"
"ada","AZ12","F1","ada,alkB"
"add","AZ05","A8","add"
"adhE","AZ04","B3","adhE"
"adiA","AZ02","D6","adiA"
"adk","AZ05","G6","adk"
"adrA","AZ11","G5","dgcC"
"aegA","AZ04","B6","aegA"
"aer","AZ01","D4","aer"
"aes","AZ05","E10","aes"
"agaR","AZ08","E5","agaR"
"agn43","AZ18","E10","isrC,flu"
"ahpC","AZ13","D11","ahpC,ahpF"
"ahpF","AZ13","F8","ahpF"
"aidB","AZ12","H6","aidB"
"ais","AZ12","A4","ais"
"alaS","AZ10","B11","alaS"
"aldA","AZ03","G6","aldA"
"aldB","AZ12","B12","aldB"
"aldH","AZ03","G5","puuC"
"allA","AZ13","D8","allA"
"allD","AZ13","H7","allD,allC,allE"
"allR","AZ07","D6","allR"
"allS","AZ13","H5","allS"
"alsA","AZ14","D7","alsA"
"alsB","AZ15","A4","alsB"
"alsI","AZ02","A1","rpiB"
"alsR","AZ02","B3","rpiR,alsB,alsA,alsC,alsE"
"amiA","AZ18","E1","amiA,hemF"
"amiC","AZ01","D1","amiC"
"amn","AZ05","A9","amn"
"ampD","AZ18","B2","ampD,ampE"
"ampH","AZ14","G4","ampH"
"amyA","AZ04","E7","amyA"
"aniC","AZ03","B11","adiC"
"ansA","AZ02","F1","ansA,pncA"
"ansB","AZ02","D1","ansB"
"apbE","AZ04","F4","ftp"
"aphA","AZ18","A11","aphA"
"appA","AZ06","F11","appA"
"apt","AZ05","A7","apt"
"aqpZ","AZ21","A7","aqpZ"
"araB","AZ20","E1","araB,araA,araD"
"araC","AZ20","F6","araC"
"araD","AZ20","E4","araD"
"araE","AZ20","D2","araE,ygeA"
"araF","AZ21","A10","araF,araG,araH"
"araJ","AZ15","H11","araJ"
"arcB","AZ20","G6","arcB"
"argA","AZ01","B7","argA"
"argC","AZ01","C6","argC,argB,argH"
"argD","AZ01","F5","argD"
"argE","AZ01","D10","argE"
"argF","AZ01","E6","argF"
"argG","AZ01","B11","argG"
"argI","AZ01","E1","argI"
"argP","AZ09","G4","argP"
"argU","AZ20","C11","argU"
"argW","AZ08","B7","argW"
"aroF","AZ01","F2","aroF,tyrA"
"aroH","AZ01","A11","aroH"
"aroK","AZ01","F6","aroK,aroB,damX,dam,rpe,gph,trpS"
"aroL","AZ01","A8","aroL,yaiA,aroM"
"aroP","AZ02","C1","aroP"
"arpA","AZ05","G2","arpA"
"artP","AZ14","C7","artP,artI,artQ,artM"
"ascG","AZ12","A2","ascG"
"asd","AZ18","C9","asd"
"asnA","AZ01","B12","asnA"
"asnC","AZ01","D5","asnC,mioC,mnmG,rsmG"
"asnS","AZ10","B6","asnS"
"asnV","AZ08","A10","asnV"
"aspA","AZ05","F4","aspA,dcuA"
"aspC","AZ01","E7","aspC"
"aspU","AZ08","B12","aspU"
"asr","AZ06","E6","asr"
"astC","AZ13","B2","astC,astA,astD,astB,astE"
"atoS","AZ18","D12","atoS,atoC"
"atpI","AZ02","D5","atpI,atpB,atpE,atpF,atpH,atpA,atpG,atpD,atpC"
"b0165","AZ12","A11","yaeI"
"b0255","AZ14","A3","insN-1,insI-1,insO-1,insN"
"b0259","AZ17","D8","insH-1"
"b0298","AZ11","F7","insE1"
"b0360","AZ02","C4","insC-1,insCD-1,insD-1,insC1"
"b0373","AZ13","G12","insE-2,insEF-2,insF-2,insE1"
"b0374","AZ13","D4","yaiU"
"b0540","AZ14","A5","insE-3,insEF-3,insF-3,ybcD,peaD,insE1,renD"
"b0582","AZ03","G12","hokE,insL-2,sokE"
"b0656","AZ14","G3","insH-3"
"b0671","AZ08","A3","glnU"
"b0725","AZ12","H9","sucA"
"b1027","AZ16","C5","insE-4,insEF-4,insF-4,insE1"
"b1172","AZ16","C11","ymgG,ymgD,ymgI"
"b1240","AZ15","D10","ychG_1,ychG_2,insZ"
"b1331","AZ05","B11","insH-4"
"b1403","AZ16","A11","insC-2,insCD-2,insD-2,insC1"
"b1420","AZ12","A5","hokB,mokB"
"b1966","AZ05","A5","yedS_3"
"b2192","AZ04","B4","insH-8"
"b2394","AZ05","C8","insL-3"
"b2641","AZ19","D2","ypjM_1,ypjM_2"
"b2680","AZ11","A7","ygaX,ygaY"
"b2861","AZ18","G5","insC-4,insCD-4,insD-4,ygeO,ygeN,ygeM,insC1"
"b2974","AZ04","D1","yghJ"
"b3007","AZ01","D3","exbB,exbD"
"b3044","AZ02","E3","insC-5,insCD-5,insD-5,yqiG,yqiH,yqiI,insC1"
"b3218","AZ18","A2","insH-10"
"b3505","AZ19","B8","insH-11"
"b4283","AZ02","G10","insN-2"
"b4285","AZ06","F9","insO-2,yjhW,yjhV"
"bacA","AZ13","F2","bacA"
"barA","AZ05","H11","barA"
"bax","AZ04","G8","bax"
"bcsE","AZ18","D1","bcsE,bcsF,bcsG"
"betT","AZ15","E2","betT"
"bfd","AZ09","C6","bfd,bfr"
"bglA","AZ03","D9","bglA"
"bioB","AZ07","F12","bioB,bioF,bioC,bioD"
"bisC","AZ07","H3","bisC"
"blc","AZ09","B5","blc"
"bolA","AZ18","D9","bolA"
"borD","AZ13","H10","borD"
"brnQ","AZ12","G8","brnQ,proY"
"btuB","AZ10","A6","btuB,murI"
"btuC","AZ14","C11","btuC,btuE,btuD"
"cadA","AZ02","D7","cadA"
"cadB","AZ17","A9","cadB,cadA"
"caiC","AZ02","C7","caiC"
"cbdA","AZ03","G3","appC,appB,appX,appA"
"cbpA","AZ13","H9","cbpA,cbpM"
"cca","AZ10","C8","cca"
"cdaR","AZ11","G4","cdaR"
"cdd","AZ05","A10","cdd"
"chaB","AZ20","C9","chaB,chaC"
"chaC","AZ16","E7","chaC"
"chbA","AZ17","A6","chbA"
"chiA","AZ04","D3","chiA"
"cirA","AZ18","H8","cirA"
"citC","AZ06","H7","citC,citD,citE,citF,citX,citG"
"citT","AZ03","A10","citT"
"cld","AZ18","H6","wzzB"
"clpB","AZ04","D12","clpB"
"clpP","AZ20","H10","clpP,clpX,lon"
"clpS","AZ15","G1","clpS"
"clpX","AZ20","A8","clpX"
"cls","AZ09","A1","clsA,yciU"
"cmk","AZ09","H3","cmk,rpsA,ihfB"
"cmr","AZ16","E3","mdfA"
"coaE","AZ06","A1","coaE,zapD,yacG"
"cobU","AZ07","B2","cobU,cobS,cobT,yeeH"
"codB","AZ16","H7","codB,codA"
"corA","AZ16","H5","corA"
"cpdA","AZ12","B2","cpdA"
"cpdB","AZ05","F5","cpdB"
"cpsG","AZ06","B2","cpsG"
"crcA","AZ15","E5","pagP"
"crcB","AZ11","D7","crcB"
"creA","AZ12","E5","creA,creB,creC,creD"
"creB","AZ11","B4","creB"
"crl","AZ05","H3","crl"
"crp","AZ02","A6","crp"
"csdA","AZ19","E4","csdA,csdE"
"csgC","AZ07","E1","csgC"
"csiD","AZ17","C8","csiD,lhgO,gabD,gabT,gabP"
"csiE","AZ05","C12","csiE"
"cspA","AZ11","A6","cspA"
"cspB","AZ11","D8","cspB"
"cspD","AZ16","B11","cspD"
"cspG","AZ02","G1","cspG"
"cspI","AZ17","F12","cspI"
"cueO","AZ01","B6","cueO"
"cueR","AZ07","D5","cueR"
"cusC","AZ14","A6","cusC,cusF,cusB,cusA"
"cusR","AZ14","F8","cusR,cusS"
"cutA","AZ11","C9","cutA"
"cvpA","AZ15","A7","cvpA,purF,ubiX"
"cvrA","AZ21","A5","cvrA"
"cyaA","AZ20","C7","cyaA"
"cybC","AZ03","G9","cybC"
"cydD","AZ14","C8","cydD,cydC"
"cynR","AZ20","B11","cynR"
"cynT","AZ20","B7","cynT,cynS,cynX"
"cyoA","AZ02","C9","cyoA,cyoB,cyoC,cyoD,cyoE"
"cysB","AZ01","A10","cysB"
"cysD","AZ09","F2","cysD,cysN,cysC"
"cysH","AZ02","C12","cysH"
"cysJ","AZ02","G8","cysJ,cysI,cysH"
"cysK","AZ01","B2","cysK"
"cysP","AZ01","E10","cysP,cysU,cysW,cysA,cysM"
"cysQ","AZ05","E5","cysQ"
"cysS","AZ09","H12","cysS"
