"UAL_promoter","Strand","Reports_genes","Gene","Operon","Operon_name","Duplicated_reporting"
"aaeR",1,"aaeR","aaeR",NA,NA,NA
"abrB",-1,"abrB","abrB",NA,NA,NA
"accB",1,"accB,accC",NA,"accB,accC","accBC",NA
"aceB",1,"aceB,aceA,aceK",NA,"aceB,aceA,aceK","aceBAK","aceK"
"aceK",1,"aceK","aceK",NA,NA,"aceK"
"ackA",1,"ackA,pta",NA,"ackA,pta","ackA-pta",NA
"acnB",1,"acnB","acnB",NA,NA,NA
"acpP",1,"acpP","acpP",NA,NA,NA
"ada",-1,"ada,alkB",NA,"ada,alkB","ada-alkB",NA
"add",1,"add","add",NA,NA,NA
"adhE",-1,"adhE","adhE",NA,NA,NA
"adiA",-1,"adiA","adiA",NA,NA,NA
"adk",1,"adk","adk",NA,NA,NA
"adrA",1,"dgcC","dgcC",NA,NA,NA
"aegA",-1,"aegA","aegA",NA,NA,NA
"aer",-1,"aer","aer",NA,NA,NA
"aes",-1,"aes","aes",NA,NA,NA
"agaR",-1,"agaR","agaR",NA,NA,NA
"agn43",1,"isrC,flu",NA,"isrC,flu","isrC-flu",NA
"ahpC",1,"ahpC,ahpF",NA,"ahpC,ahpF","ahpCF","ahpF"
"ahpF",1,"ahpF","ahpF",NA,NA,"ahpF"
"aidB",1,"aidB","aidB",NA,NA,NA
"ais",-1,"ais","ais",NA,NA,NA
"alaS",-1,"alaS","alaS",NA,NA,NA
"aldA",1,"aldA","aldA",NA,NA,NA
"aldB",-1,"aldB","aldB",NA,NA,NA
"aldH",1,"puuC","puuC",NA,NA,"puuC"
"allA",1,"allA","allA",NA,NA,NA
"allD",-1,"allD,allC,allE",NA,"allD,allC,allE","allDCE",NA
"allR",1,"allR","allR",NA,NA,NA
"allS",-1,"allS","allS",NA,NA,NA
"alsA",-1,"alsA","alsA",NA,NA,"alsA"
"alsB",-1,"alsB","alsB",NA,NA,"alsB"
"alsI",1,"rpiB","rpiB",NA,NA,NA
"alsR",-1,"rpiR,alsB,alsA,alsC,alsE",NA,"rpiR,alsB,alsA,alsC,alsE","rpiR-alsBACE","alsB,alsA"
"amiA",1,"amiA,hemF",NA,"amiA,hemF","amiA-hemF",NA
"amiC",-1,"amiC","amiC",NA,NA,NA
"amn",1,"amn","amn",NA,NA,NA
"ampD",1,"ampD,ampE",NA,"ampD,ampE","ampDE",NA
"ampH",-1,"ampH","ampH",NA,NA,NA
"amyA",1,"amyA","amyA",NA,NA,NA
"aniC",-1,"adiC","adiC",NA,NA,NA
