UAL_promoter,Plate,Well,Strand,Type,Distance,Name,Genes,FeatureNo,Remove
ygeI,AZ11,B1,1,gene,-73,ygeI,ygeI,1,
ygeI,AZ11,B1,1,Operon,-72,ygeI,ygeI,1,
ydfA,AZ11,B3,1,gene,-53,ydfA,ydfA,1,
ydfA,AZ11,B3,1,Operon,-52,ydfABC,"ydfA,ydfB,ydfC",1,
idi,AZ11,B2,1,gene,-294,yqfG,yqfG,1,TRUE
idi,AZ11,B2,1,gene,-46,idi,idi,2,
idi,AZ11,B2,1,Operon,-45,idi,idi,1,
yeaS,AZ11,B5,-1,gene,-75,leuE,leuE,1,
yeaS,AZ11,B5,-1,Operon,-75,leuE,leuE,1,
creB,AZ11,B4,1,gene,-59,creB,creB,1,
yobF,AZ11,B7,-1,gene,-69,yobF,yobF,1,
yobF,AZ11,B7,-1,Operon,-69,yobF-cspC,"yobF,cspC",1,
yeaZ,AZ11,B6,-1,gene,-94,tsaB,tsaB,1,
yeaZ,AZ11,B6,-1,Operon,-94,tsaB-yeaY,"tsaB,yeaY",1,
yebE,AZ11,B9,-1,gene,-69,yebE,yebE,1,
yebE,AZ11,B9,-1,Operon,-69,yebE,yebE,1,
yebO,AZ11,B8,-1,gene,-87,yebO,yebO,1,
yebO,AZ11,B8,-1,Operon,-87,yebO,yebO,1,
deoA,AZ05,B3,1,gene,-94,deoA,deoA,1,
folD,AZ07,G9,-1,gene,-77,folD,folD,1,
folD,AZ07,G9,-1,Operon,-77,folD-ybcJ,"folD,ybcJ",1,
hemL,AZ07,G8,-1,gene,-71,hemL,hemL,1,
hemL,AZ07,G8,-1,Operon,-71,hemL,hemL,1,
moaA,AZ07,G1,1,gene,-67,moaA,moaA,1,
moaA,AZ07,G1,1,Operon,-66,moaABCDE,"moaA,moaB,moaC,moaD,moaE",1,
hemA,AZ07,G3,1,gene,-76,hemA,hemA,1,
hemA,AZ07,G3,1,Operon,-75,hemA-prfA-prmC,"hemA,prfA,prmC",1,
iaaA,AZ07,G2,1,gene,-20,iaaA,iaaA,1,
iaaA,AZ07,G2,1,Operon,-19,iaaA-gsiABCD,"iaaA,gsiA,gsiB,gsiC,gsiD",1,
ispB,AZ07,G5,1,gene,-35,ispB,ispB,1,
ispB,AZ07,G5,1,Operon,-34,ispB,ispB,1,
yeiG,AZ07,G4,1,gene,-29,yeiG,yeiG,1,
yeiG,AZ07,G4,1,Operon,-28,yeiG,yeiG,1,
yihD,AZ07,G7,1,gene,-51,yihD,yihD,1,
yihD,AZ07,G7,1,Operon,-50,yihD,yihD,1,
yiaD,AZ07,G6,1,gene,-86,yiaD,yiaD,1,
yiaD,AZ07,G6,1,Operon,-85,yiaD,yiaD,1,
nagB,AZ17,D9,-1,gene,-96,nagB,nagB,1,
nagB,AZ17,D9,-1,Operon,-96,nagBAC-umpH,"nagB,nagA,nagC,umpH",1,
yeiT,AZ05,B9,1,gene,-101,preT,preT,1,
yeiT,AZ05,B9,1,Operon,-100,preTA,"preT,preA",1,
yibK,AZ08,B8,1,gene,-51,trmL,trmL,1,
yibK,AZ08,B8,1,Operon,-50,trmL,trmL,1,
yhbX,AZ09,B12,-1,gene,-282,yhbX,yhbX,1,
yhbX,AZ09,B12,-1,Operon,-282,yhbX,yhbX,1,
yraQ,AZ09,B10,-1,gene,-90,yraQ,yraQ,1,
yraQ,AZ09,B10,-1,Operon,-90,yraQ,yraQ,1,
yccF,AZ10,E9,-1,gene,-80,yccF,yccF,1,
yccF,AZ10,E9,-1,Operon,-80,yccFS,"yccF,yccS",1,
rpsL,AZ19,C1,-1,gene,-99,rpsL,rpsL,1,
rpsL,AZ19,C1,-1,Operon,-99,rpsLG-fusA-tufA,"rpsL,rpsG,fusA,tufA",1,
pgpB,AZ08,G8,1,gene,-34,pgpB,pgpB,1,
pgpB,AZ08,G8,1,Operon,-33,pgpB,pgpB,1,
yfdC,AZ08,G9,1,gene,-69,yfdC,yfdC,1,
yfdC,AZ08,G9,1,Operon,-68,yfdC,yfdC,1,
yfiF,AZ08,G1,-1,gene,-95,yfiF,yfiF,1,
yfiF,AZ08,G1,-1,Operon,-95,yfiF,yfiF,1,
rof,AZ08,G2,-1,gene,-265,yaeP,yaeP,1,
rof,AZ08,G2,-1,Operon,-265,yaeP-rof,"yaeP,rof",1,
rof,AZ08,G2,-1,gene,-72,rof,rof,2,TRUE
qseB,AZ08,G3,1,gene,-62,qseB,qseB,1,
qseB,AZ08,G3,1,Operon,-61,qseBC,"qseB,qseC",1,
zupT,AZ08,G4,1,gene,-53,zupT,zupT,1,
zupT,AZ08,G4,1,Operon,-52,zupT,zupT,1,
ecfG,AZ08,G5,1,gene,-88,ygiM,ygiM,1,
ecfG,AZ08,G5,1,Operon,-87,ygiM-cca,"ygiM,cca",1,
yqjI,AZ08,G6,1,gene,-68,yqjI,yqjI,1,
yqjI,AZ08,G6,1,Operon,-67,yqjI,yqjI,1,
ybaY,AZ08,G7,1,gene,-84,ybaY,ybaY,1,
ybaY,AZ08,G7,1,Operon,-83,ybaY,ybaY,1,
guaC,AZ05,H10,1,gene,-91,guaC,guaC,1,
guaC,AZ05,H10,1,Operon,-90,guaC,guaC,1,
barA,AZ05,H11,1,gene,-22,barA,barA,1,
barA,AZ05,H11,1,Operon,-21,barA,barA,1,
ygjO,AZ05,H12,-1,gene,-53,rlmG,rlmG,1,
ygjO,AZ05,H12,-1,Operon,-53,rlmG,rlmG,1,
yfhM,AZ19,C11,-1,gene,-88,yfhM,yfhM,1,
yfhM,AZ19,C11,-1,Operon,-88,yfhM-pbpC,"yfhM,pbpC",1,
yphG,AZ19,C12,-1,gene,-7,yphG,yphG,1,
yphG,AZ19,C12,-1,Operon,-7,yphG,yphG,1,
argE,AZ01,D10,-1,gene,-75,argE,argE,1,
argE,AZ01,D10,-1,Operon,-75,argE,argE,1,
yjaB,AZ01,D11,-1,gene,-84,yjaB,yjaB,1,
yjaB,AZ01,D11,-1,Operon,-84,yjaB,yjaB,1,
ytjB,AZ01,D12,-1,gene,-83,ytjB,ytjB,1,
ytjB,AZ01,D12,-1,Operon,-83,ytjB-lplA,"ytjB,lplA",1,
yneF,AZ17,F9,-1,gene,-76,yneF,yneF,1,
yneF,AZ17,F9,-1,Operon,-76,dgcF,dgcF,1,
ydeV,AZ17,F8,-1,gene,-69,lsrK,lsrK,1,
ydcM,AZ17,H11,1,gene,7,insQ,insQ,1,
ydcM,AZ17,H11,1,Operon,8,ydcM,ydcM,1,
ydcG,AZ17,H10,1,gene,-43,opgD,opgD,1,
ydcG,AZ17,H10,1,Operon,-42,opgD,opgD,1,
thiC,AZ17,H12,-1,gene,-91,thiC,thiC,1,
thiC,AZ17,H12,-1,Operon,-91,thiCEFSGH,"thiC,thiE,thiF,thiS,thiG,thiH",1,
yciW,AZ17,F2,-1,gene,2,yciW,yciW,1,
yciW,AZ17,F2,-1,Operon,2,yciW,yciW,1,
kch,AZ17,F1,-1,gene,-87,kch,kch,1,
kch,AZ17,F1,-1,Operon,-87,kch,kch,1,
ydeQ,AZ17,F7,-1,gene,-97,ydeQ,ydeQ,1,
ydeQ,AZ17,F7,-1,Operon,-97,ydeQ,ydeQ,1,
yddL,AZ17,F6,-1,gene,-71,yddL,yddL,1,
yddL,AZ17,F6,-1,Operon,-71,yddLKJ,"yddL,yddK,yddJ",1,
pinR,AZ17,F5,-1,gene,-80,pinR,pinR,1,
pinR,AZ17,F5,-1,Operon,-80,pinR,pinR,1,
ytfI,AZ18,G9,1,gene,-45,ytfI,ytfI,1,
ytfI,AZ18,G9,1,Operon,-44,ytfI,ytfI,1,
yjfK,AZ18,G8,1,gene,-34,yjfK,yjfK,1,
yjfK,AZ18,G8,1,Operon,-33,yjfKLMC,"yjfK,yjfL,yjfM,yjfC",1,
yjcD,AZ18,G1,1,gene,-83,ghxP,ghxP,1,
yjcD,AZ18,G1,1,Operon,-82,ghxP,ghxP,1,
yjeI,AZ18,G3,1,gene,-60,yjeI,yjeI,1,
yjeI,AZ18,G3,1,Operon,-59,yjeI,yjeI,1,
yjdK,AZ18,G2,1,gene,145,ghoS,ghoS,1,
yjdK,AZ18,G2,1,Operon,146,ghoST,"ghoS,ghoT",1,
b2861,AZ18,G5,-1,Operon,-133,insCD-4C-4D-4-ygeONM,"insC-4,insCD-4,insD-4,ygeO,ygeN,ygeM",1,
b2861,AZ18,G5,-1,gene,-88,insC1,insC1,1,
yjeN,AZ18,G4,1,gene,-74,yjeN,yjeN,1,
yjeN,AZ18,G4,1,Operon,-73,yjeNO,"yjeN,yjeO",1,
yjfI,AZ18,G7,1,gene,-47,yjfI,yjfI,1,
yjeB,AZ18,G6,1,gene,-42,nsrR,nsrR,1,
yjeB,AZ18,G6,1,Operon,-41,nsrR-rnr-rlmB-yjfIJ,"nsrR,rnr,rlmB,yjfI,yjfJ",1,
yojI,AZ14,D1,-1,gene,-68,yojI,yojI,1,
yojI,AZ14,D1,-1,Operon,-68,yojI,yojI,1,
hisQ,AZ14,D2,-1,gene,-91,hisQ,hisQ,1,
cysW,AZ14,D3,-1,gene,-507,cysW,cysW,1,
ugpA,AZ14,D4,-1,gene,-99,ugpA,ugpA,1,
dppB,AZ14,D5,-1,gene,-92,dppB,dppB,1,
pstC,AZ14,D6,-1,gene,-79,pstC,pstC,1,
alsA,AZ14,D7,-1,gene,-70,alsA,alsA,1,
phnC,AZ14,D8,-1,gene,-102,phnC,phnC,1,
phnC,AZ14,D8,-1,Operon,-102,phnCDE_1E_2FGHIJKLMNOP,"phnC,phnD,phnE_1,phnE_2,phnF,phnG,phnH,phnI,phnJ,phnK,phnL,phnM,phnN,phnO,phnP",1,
ybdF,AZ14,D9,-1,gene,-68,ybdF,ybdF,1,
ybdF,AZ14,D9,-1,Operon,-68,ybdF,ybdF,1,
ybfF,AZ10,E8,-1,gene,-80,ybfF,ybfF,1,
ybfF,AZ10,E8,-1,Operon,-80,ybfF,ybfF,1,
rpsM,AZ19,C8,-1,gene,-91,rpsM,rpsM,1,
rpsM,AZ19,C8,-1,Operon,-91,rpsMKD-rpoA-rplQ,"rpsM,rpsK,rpsD,rpoA,rplQ",1,
atpI,AZ02,D5,-1,gene,-77,atpI,atpI,1,
atpI,AZ02,D5,-1,Operon,-77,atpIBEFHAGDC,"atpI,atpB,atpE,atpF,atpH,atpA,atpG,atpD,atpC",1,
serA,AZ09,C3,-1,gene,-86,serA,serA,1,
serA,AZ09,C3,-1,Operon,-86,serA,serA,1,
yhcO,AZ09,C2,-1,gene,-85,yhcO,yhcO,1,
yhcO,AZ09,C2,-1,Operon,-85,yhcO,yhcO,1,
yhbE,AZ09,C1,-1,gene,-99,yhbE,yhbE,1,
yheO,AZ09,C7,-1,gene,-73,yheO,yheO,1,
yheO,AZ09,C7,-1,Operon,-73,yheO-tusDCB,"yheO,tusD,tusC,tusB",1,
bfd,AZ09,C6,-1,gene,-79,bfd,bfd,1,
bfd,AZ09,C6,-1,Operon,-79,bfd-bfr,"bfd,bfr",1,
yhdN,AZ09,C5,-1,gene,-96,yhdN,yhdN,1,
yhdN,AZ09,C5,-1,Operon,-96,yhdN-zntR,"yhdN,zntR",1,
smf,AZ09,C4,-1,gene,-82,smf,smf,1,
smf,AZ09,C4,-1,Operon,-82,smf,smf,1,
ygjJ,AZ09,C9,1,gene,-83,ygjJ,ygjJ,1,
ygjJ,AZ09,C9,1,Operon,-82,ygjJK,"ygjJ,ygjK",1,
yhfG,AZ09,C8,-1,gene,-86,yhfG,yhfG,1,
yhfG,AZ09,C8,-1,Operon,-86,yhfG-fic-pabA,"yhfG,fic,pabA",1,
ahpC,AZ13,D11,1,gene,-56,ahpC,ahpC,1,
ahpC,AZ13,D11,1,Operon,-55,ahpCF,"ahpC,ahpF",1,
thiL,AZ18,A6,1,gene,-25,thiL,thiL,1,
dusB,AZ18,A4,1,gene,-93,dusB,dusB,1,
dusB,AZ18,A4,1,Operon,-92,dusB-fis,"dusB,fis",1,
yabN,AZ16,D6,-1,gene,-88,sgrR,sgrR,1,
yabN,AZ16,D6,-1,Operon,-88,sgrR-sroA-tbpA-thiPQ,"sgrR,sroA,tbpA,thiP,thiQ",1,
yebA,AZ16,D7,-1,gene,-151,mepM,mepM,1,
yebA,AZ16,D7,-1,Operon,-151,mepM,mepM,1,
ribE,AZ16,D4,1,gene,-68,mdtK,mdtK,1,
ribE,AZ16,D4,1,Operon,-67,mdtK,mdtK,1,
kdgR,AZ16,D5,-1,gene,-87,kdgR,kdgR,1,
kdgR,AZ16,D5,-1,Operon,-87,kdgR,kdgR,1,
ynfL,AZ16,D2,-1,gene,-91,ynfL,ynfL,1,
ynfL,AZ16,D2,-1,Operon,-91,ynfL,ynfL,1,
ydhB,AZ16,D3,-1,gene,-92,ydhB,ydhB,1,
ydhB,AZ16,D3,-1,Operon,-92,ydhB,ydhB,1,
fsr,AZ16,D1,-1,gene,-71,fsr,fsr,1,
fsr,AZ16,D1,-1,Operon,-71,fsr,fsr,1,
gntP,AZ16,D9,-1,gene,-96,gntP,gntP,1,
gntP,AZ16,D9,-1,Operon,-96,gntP,gntP,1,
yafD,AZ12,C9,1,gene,-69,yafD,yafD,1,
yafD,AZ12,C9,1,Operon,-68,yafDE,"yafD,yafE",1,
ybeB,AZ12,C8,-1,gene,-208,rsfS,rsfS,1,
ybeB,AZ12,C8,-1,Operon,-208,rsfS-rlmH-mrdAB-rlpA,"rsfS,rlmH,mrdA,mrdB,rlpA",1,
yafU,AZ12,C7,-1,gene,-108,yafU,yafU,1,
yafU,AZ12,C7,-1,Operon,-90,yafU,yafU,1,
ompN,AZ12,C6,-1,gene,-72,ompN,ompN,1,
ydeP,AZ12,C5,-1,gene,-82,ydeP,ydeP,1,
ydeP,AZ12,C5,-1,Operon,-82,ydeP,ydeP,1,
yrbA,AZ12,C4,-1,gene,-66,ibaG,ibaG,1,
yrbA,AZ12,C4,-1,Operon,-66,ibaG-murA,"ibaG,murA",1,
serA,AZ12,C3,-1,gene,-86,serA,serA,1,
serA,AZ12,C3,-1,Operon,-86,serA,serA,1,
cytR,AZ12,C2,-1,gene,-90,cytR,cytR,1,
cytR,AZ12,C2,-1,Operon,-90,cytR,cytR,1,
yafV,AZ12,C1,-1,gene,-74,yafV,yafV,1,
yafV,AZ12,C1,-1,Operon,-74,yafV,yafV,1,
yffS,AZ17,B12,1,gene,-43,yffS,yffS,1,
yffS,AZ17,B12,1,Operon,-42,yffS,yffS,1,
yfdQ,AZ17,B11,1,gene,-103,yfdQ,yfdQ,1,
yfdG,AZ17,B10,1,gene,-73,gtrA,gtrA,1,
yfdG,AZ17,B10,1,Operon,-72,yfdGHI,"yfdG,yfdH,yfdI",1,
zntA,AZ16,H10,1,gene,-68,zntA,zntA,1,
zntA,AZ16,H10,1,Operon,-67,zntA,zntA,1,
lctP,AZ16,H11,1,gene,-76,lldP,lldP,1,
lctP,AZ16,H11,1,Operon,-75,lldPRD,"lldP,lldR,lldD",1,
rbsD,AZ16,H12,1,gene,17,rbsD,rbsD,1,
rbsD,AZ16,H12,1,Operon,18,rbsDACBKR,"rbsD,rbsA,rbsC,rbsB,rbsK,rbsR",1,
hdhA,AZ06,A10,-1,gene,-98,hdhA,hdhA,1,
