Plate,Well,Gene_Name,Strand,Amplicons,Amplicon_length,Mapping,Primer1_e,Primer1_query_start,Primer1_query_end,Primer1_target_start,Primer1_target_end,Primer2_e,Primer2_query_start,Primer2_query_end,Primer2_target_start,Primer2_target_end
AZ11,B1,ygeI,1,1,315,2993395..2993710,0.000233705,10,29,2993395,2993414,0.00364891,50,67,2993693,2993710
AZ11,B3,ydfA,1,1,318,1648242..1648560,0.00352928,10,27,1648242,1648259,0.00352928,48,65,1648543,1648560
AZ11,B2,idi,1,1,396,3032714..3033110,0.000893177,9,27,3032714,3032732,0.00352928,48,65,3033093,3033110
AZ11,B5,yeaS,-1,1,269,1880953..1880684,0.000893177,1,19,1880953,1880971,0.000893177,47,65,1880702,1880684
AZ11,B4,creB,1,1,168,4635897..4636065,0.000893177,9,27,4635897,4635915,0.00352928,48,65,4636048,4636065
AZ11,B7,yobF,-1,1,821,1908343..1907522,0.00352928,1,18,1908343,1908360,0.000893177,47,65,1907540,1907522
AZ11,B6,yeaZ,-1,1,172,1891345..1891173,0.000226042,1,20,1891345,1891364,0.00352928,47,64,1891190,1891173
AZ11,B9,yebE,-1,1,472,1930110..1929638,0.000893177,1,19,1930110,1930128,0.00352928,47,64,1929655,1929638
AZ11,B8,yebO,-1,1,231,1908692..1908461,0.00352928,1,18,1908692,1908709,0.00352928,47,64,1908478,1908461
AZ05,B3,deoA,1,1,310,4618012..4618322,0.00352928,10,27,4618012,4618029,0.00352928,48,65,4618305,4618322
AZ07,G9,folD,-1,1,592,558256..557664,0.00352928,1,18,558256,558273,0.00352928,47,64,557681,557664
AZ07,G8,hemL,-1,1,317,175128..174811,0.000893177,1,19,175128,175146,0.00352928,47,64,174828,174811
AZ07,G1,moaA,1,1,542,816568..817110,0.000893177,9,27,816568,816586,0.000893177,48,66,817092,817110
AZ07,G3,hemA,1,1,359,1263430..1263789,0.00352928,10,27,1263430,1263447,0.00352928,48,65,1263772,1263789
AZ07,G2,iaaA,1,1,308,866279..866587,0.00352928,10,27,866279,866296,0.00352928,48,65,866570,866587
AZ07,G5,ispB,1,1,371,3333373..3333744,0.00352928,10,27,3333373,3333390,0.00352928,48,65,3333727,3333744
AZ07,G4,yeiG,1,1,358,2243580..2243938,0.00352928,10,27,2243580,2243597,0.00352928,48,65,2243921,2243938
AZ07,G7,yihD,1,1,192,4041927..4042119,0.00352928,10,27,4041927,4041944,0.000226042,48,67,4042100,4042119
AZ07,G6,yiaD,1,1,436,3716196..3716632,0.00352928,10,27,3716196,3716213,0.00352928,48,65,3716615,3716632
AZ17,D9,nagB,-1,1,447,703962..703515,0.000893177,1,19,703962,703980,0.000893177,47,65,703533,703515
AZ05,B9,yeiT,1,1,383,2233750..2234133,0.00352928,10,27,2233750,2233767,0.00352928,48,65,2234116,2234133
AZ08,B8,yibK,1,1,324,3780941..3781265,0.00352928,10,27,3780941,3780958,0.00352928,48,65,3781248,3781265
AZ09,B12,yhbX,-1,1,614,3321945..3321331,0.00364891,1,18,3321945,3321962,0.000233705,47,66,3321350,3321331
AZ09,B10,yraQ,-1,1,231,3298279..3298048,0.000893177,1,19,3298279,3298297,0.00352928,47,64,3298065,3298048
AZ09,B11,psd,-1,0,0,4390539..0,0.00340964,1,18,4390539,4390556,,0,0,0,0
