UAL_promoter,Plate,Well,Strand,Type,Distance,Group,Name,Genes
ygeI,AZ11,B1,1,gene,-73,1,ygeI,ygeI
ygeI,AZ11,B1,1,Operon,-73,1,ygeI,ygeI
ydfA,AZ11,B3,1,gene,-53,1,ydfA,ydfA
ydfA,AZ11,B3,1,Operon,-53,1,ydfABC,"ydfA,ydfB,ydfC"
idi,AZ11,B2,1,gene,-294,2,yqfG,yqfG
idi,AZ11,B2,1,gene,-46,1,idi,idi
idi,AZ11,B2,1,Operon,-46,1,idi,idi
yeaS,AZ11,B5,-1,gene,-75,1,leuE,leuE
yeaS,AZ11,B5,-1,Operon,-74,1,leuE,leuE
creB,AZ11,B4,1,gene,-59,2,creB,creB
yobF,AZ11,B7,-1,gene,-69,1,yobF,yobF
yobF,AZ11,B7,-1,Operon,-68,1,yobF-cspC,"yobF,cspC"
yeaZ,AZ11,B6,-1,gene,-94,1,tsaB,tsaB
yeaZ,AZ11,B6,-1,Operon,-93,1,tsaB-yeaY,"tsaB,yeaY"
yebE,AZ11,B9,-1,gene,-69,1,yebE,yebE
yebE,AZ11,B9,-1,Operon,-68,1,yebE,yebE
yebO,AZ11,B8,-1,gene,-87,1,yebO,yebO
yebO,AZ11,B8,-1,Operon,-86,1,yebO,yebO
deoA,AZ05,B3,1,gene,-94,2,deoA,deoA
folD,AZ07,G9,-1,gene,-77,1,folD,folD
folD,AZ07,G9,-1,Operon,-76,1,folD-ybcJ,"folD,ybcJ"
hemL,AZ07,G8,-1,gene,-71,1,hemL,hemL
hemL,AZ07,G8,-1,Operon,-70,1,hemL,hemL
moaA,AZ07,G1,1,gene,-67,1,moaA,moaA
moaA,AZ07,G1,1,Operon,-67,1,moaABCDE,"moaA,moaB,moaC,moaD,moaE"
hemA,AZ07,G3,1,gene,-76,1,hemA,hemA
hemA,AZ07,G3,1,Operon,-76,1,hemA-prfA-prmC,"hemA,prfA,prmC"
iaaA,AZ07,G2,1,gene,-20,1,iaaA,iaaA
iaaA,AZ07,G2,1,Operon,-20,1,iaaA-gsiABCD,"iaaA,gsiA,gsiB,gsiC,gsiD"
ispB,AZ07,G5,1,gene,-35,1,ispB,ispB
ispB,AZ07,G5,1,Operon,-35,1,ispB,ispB
yeiG,AZ07,G4,1,gene,-29,1,yeiG,yeiG
yeiG,AZ07,G4,1,Operon,-29,1,yeiG,yeiG
yihD,AZ07,G7,1,gene,-51,1,yihD,yihD
yihD,AZ07,G7,1,Operon,-51,1,yihD,yihD
yiaD,AZ07,G6,1,gene,-86,1,yiaD,yiaD
yiaD,AZ07,G6,1,Operon,-86,1,yiaD,yiaD
nagB,AZ17,D9,-1,gene,-96,1,nagB,nagB
nagB,AZ17,D9,-1,Operon,-95,1,nagBAC-umpH,"nagB,nagA,nagC,umpH"
yeiT,AZ05,B9,1,gene,-101,1,preT,preT
yeiT,AZ05,B9,1,Operon,-101,1,preTA,"preT,preA"
yibK,AZ08,B8,1,gene,-51,1,trmL,trmL
yibK,AZ08,B8,1,Operon,-51,1,trmL,trmL
yhbX,AZ09,B12,-1,gene,-282,1,yhbX,yhbX
yhbX,AZ09,B12,-1,Operon,-281,1,yhbX,yhbX
yraQ,AZ09,B10,-1,gene,-90,1,yraQ,yraQ
yraQ,AZ09,B10,-1,Operon,-89,1,yraQ,yraQ
yccF,AZ10,E9,-1,gene,-80,1,yccF,yccF
yccF,AZ10,E9,-1,Operon,-79,1,yccFS,"yccF,yccS"
rpsL,AZ19,C1,-1,gene,-99,1,rpsL,rpsL
rpsL,AZ19,C1,-1,Operon,-98,1,rpsLG-fusA-tufA,"rpsL,rpsG,fusA,tufA"
pgpB,AZ08,G8,1,gene,-34,1,pgpB,pgpB
pgpB,AZ08,G8,1,Operon,-34,1,pgpB,pgpB
yfdC,AZ08,G9,1,gene,-69,1,yfdC,yfdC
yfdC,AZ08,G9,1,Operon,-69,1,yfdC,yfdC
yfiF,AZ08,G1,-1,gene,-95,1,yfiF,yfiF
yfiF,AZ08,G1,-1,Operon,-94,1,yfiF,yfiF
rof,AZ08,G2,-1,gene,-265,1,yaeP,yaeP
rof,AZ08,G2,-1,Operon,-264,1,yaeP-rof,"yaeP,rof"
rof,AZ08,G2,-1,gene,-72,2,rof,rof
qseB,AZ08,G3,1,gene,-62,1,qseB,qseB
qseB,AZ08,G3,1,Operon,-62,1,qseBC,"qseB,qseC"
zupT,AZ08,G4,1,gene,-53,1,zupT,zupT
zupT,AZ08,G4,1,Operon,-53,1,zupT,zupT
ecfG,AZ08,G5,1,gene,-88,1,ygiM,ygiM
ecfG,AZ08,G5,1,Operon,-88,1,ygiM-cca,"ygiM,cca"
yqjI,AZ08,G6,1,gene,-68,1,yqjI,yqjI
yqjI,AZ08,G6,1,Operon,-68,1,yqjI,yqjI
ybaY,AZ08,G7,1,gene,-84,1,ybaY,ybaY
ybaY,AZ08,G7,1,Operon,-84,1,ybaY,ybaY
guaC,AZ05,H10,1,gene,-91,1,guaC,guaC
guaC,AZ05,H10,1,Operon,-91,1,guaC,guaC
barA,AZ05,H11,1,gene,-22,1,barA,barA
barA,AZ05,H11,1,Operon,-22,1,barA,barA
ygjO,AZ05,H12,-1,gene,-53,1,rlmG,rlmG
ygjO,AZ05,H12,-1,Operon,-52,1,rlmG,rlmG
yfhM,AZ19,C11,-1,gene,-88,1,yfhM,yfhM
yfhM,AZ19,C11,-1,Operon,-87,1,yfhM-pbpC,"yfhM,pbpC"
yphG,AZ19,C12,-1,gene,-7,1,yphG,yphG
yphG,AZ19,C12,-1,Operon,-6,1,yphG,yphG
argE,AZ01,D10,-1,gene,-75,1,argE,argE
argE,AZ01,D10,-1,Operon,-74,1,argE,argE
yjaB,AZ01,D11,-1,gene,-84,1,yjaB,yjaB
yjaB,AZ01,D11,-1,Operon,-83,1,yjaB,yjaB
ytjB,AZ01,D12,-1,gene,-83,1,ytjB,ytjB
ytjB,AZ01,D12,-1,Operon,-82,1,ytjB-lplA,"ytjB,lplA"
yneF,AZ17,F9,-1,gene,-76,1,yneF,yneF
yneF,AZ17,F9,-1,Operon,-75,1,dgcF,dgcF
ydeV,AZ17,F8,-1,gene,-69,1,lsrK,lsrK
ydcM,AZ17,H11,1,gene,7,1,insQ,insQ
ydcM,AZ17,H11,1,Operon,7,1,ydcM,ydcM
ydcG,AZ17,H10,1,gene,-43,1,opgD,opgD
ydcG,AZ17,H10,1,Operon,-43,1,opgD,opgD
thiC,AZ17,H12,-1,gene,-91,1,thiC,thiC
thiC,AZ17,H12,-1,Operon,-90,1,thiCEFSGH,"thiC,thiE,thiF,thiS,thiG,thiH"
yciW,AZ17,F2,-1,gene,2,1,yciW,yciW
yciW,AZ17,F2,-1,Operon,3,1,yciW,yciW
kch,AZ17,F1,-1,gene,-87,1,kch,kch
kch,AZ17,F1,-1,Operon,-86,1,kch,kch
ydeQ,AZ17,F7,-1,gene,-97,1,ydeQ,ydeQ
ydeQ,AZ17,F7,-1,Operon,-96,1,ydeQ,ydeQ
yddL,AZ17,F6,-1,gene,-71,1,yddL,yddL
yddL,AZ17,F6,-1,Operon,-70,1,yddLKJ,"yddL,yddK,yddJ"
pinR,AZ17,F5,-1,gene,-80,1,pinR,pinR
pinR,AZ17,F5,-1,Operon,-79,1,pinR,pinR
ytfI,AZ18,G9,1,gene,-45,1,ytfI,ytfI
ytfI,AZ18,G9,1,Operon,-45,1,ytfI,ytfI
yjfK,AZ18,G8,1,gene,-34,1,yjfK,yjfK
yjfK,AZ18,G8,1,Operon,-34,1,yjfKLMC,"yjfK,yjfL,yjfM,yjfC"
yjcD,AZ18,G1,1,gene,-83,1,ghxP,ghxP
yjcD,AZ18,G1,1,Operon,-83,1,ghxP,ghxP
yjeI,AZ18,G3,1,gene,-60,1,yjeI,yjeI
yjeI,AZ18,G3,1,Operon,-60,1,yjeI,yjeI
yjdK,AZ18,G2,1,gene,145,1,ghoS,ghoS
yjdK,AZ18,G2,1,Operon,145,1,ghoST,"ghoS,ghoT"
b2861,AZ18,G5,-1,Operon,-132,2,insCD-4C-4D-4-ygeONM,"insC-4,insCD-4,insD-4,ygeO,ygeN,ygeM"
